,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S0-T13,S0-T14,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12,S1-T13,S1-T14
bio,2.122254147998789E-7,2.588011141905568E-7,1.6118708485258878E-7,1.1884994611937693E-7,1.3058289199580412E-7,1.395484296545437E-7,3.521626360303016E-8,2.1106081062969783E-7,7.173101500605661E-8,1.706201924561647E-7,3.4454279188743675E-8,2.651836887634511E-7,5.063720095171949E-4,2.1106081062969783E-7,2.5680026865258874E-4,1.7496676943631481E-7,2.2673829480558438E-7,3.9994064880771695E-7,2.728236786944623E-7,1.6530779038972175E-4,1.6027256593653432E-7,1.1500371864524241E-7,2.34171691405735E-7,3.396311130628579E-7,8.650989746760443E-8,4.2514528596143485E-8,2.0257796668848433E-7,2.6245431427754097E-4,0.00106163547062,3.3351443166973E-7
bog,2.122254147998789E-7,2.588011141905568E-7,1.6134827193744136E-4,1.189687960654963E-4,1.3058289199580412E-7,1.395484296545437E-7,3.521626360303016E-8,2.1106081062969783E-7,7.173101500605661E-8,1.706201924561647E-7,3.4454279188743675E-8,2.651836887634511E-7,5.907532808914983E-4,6.333934926997231E-4,2.5654372492766106E-7,1.751417362057511E-4,2.2673829480558438E-7,8.002812382642415E-4,2.728236786944623E-7,1.6514264774197982E-7,1.6027256593653432E-7,1.1500371864524241E-7,2.34171691405735E-7,3.396311130628579E-7,8.650989746760443E-8,4.2514528596143485E-8,2.0257796668848433E-7,4.373655533828665E-4,1.0615293176882313E-7,3.3351443166973E-7
crippl,2.1243764021467874E-4,2.588011141905568E-7,1.6118708485258878E-7,1.1884994611937693E-7,1.3058289199580412E-7,1.395484296545437E-7,3.525147986663319E-5,2.1106081062969783E-7,7.173101500605661E-8,1.706201924561647E-7,3.4454279188743675E-8,2.651836887634511E-7,2.5322819539428456E-4,2.1106081062969783E-7,2.5654372492766106E-7,1.7496676943631481E-7,2.2673829480558438E-7,3.9994064880771695E-7,2.728236786944623E-7,1.6530779038972175E-4,1.6027256593653432E-7,1.1511872236388764E-4,2.34171691405735E-7,3.396311130628579E-7,8.650989746760443E-8,3.826732718938875E-4,2.0257796668848433E-7,5.248211729355293E-4,1.0615293176882313E-7,3.3351443166973E-7
sticker,2.1243764021467874E-4,2.588011141905568E-7,1.6118708485258878E-7,1.1884994611937693E-7,1.3058289199580412E-7,1.395484296545437E-7,3.521626360303016E-8,2.1106081062969783E-7,7.180274602106266E-5,6.82651390017115E-4,3.4454279188743675E-8,2.6544887245221453E-4,8.438127137430343E-8,2.1106081062969783E-7,2.5654372492766106E-7,1.7496676943631481E-7,2.2673829480558438E-7,3.9994064880771695E-7,2.730965023731567E-4,1.6530779038972175E-4,1.6027256593653432E-7,0.0011501521901710692,2.34171691405735E-7,3.396311130628579E-7,2.5961620230028086E-4,8.50715717208831E-5,2.0257796668848433E-7,8.745561955266276E-8,1.0615293176882313E-7,3.3351443166973E-7
trial,2.122254147998789E-7,2.588011141905568E-7,1.6118708485258878E-7,1.1884994611937693E-7,1.3058289199580412E-7,1.395484296545437E-7,3.521626360303016E-8,2.1127187144032752E-4,2.1526477603317588E-4,1.706201924561647E-7,3.448873346793241E-5,2.651836887634511E-7,8.438127137430343E-8,2.1127187144032752E-4,2.5654372492766106E-7,1.7496676943631481E-7,2.2673829480558438E-7,3.9994064880771695E-7,2.728236786944623E-7,1.6514264774197982E-7,1.6027256593653432E-7,1.1500371864524241E-7,2.34171691405735E-7,3.396311130628579E-7,8.650989746760443E-8,3.826732718938875E-4,2.0257796668848433E-7,8.745561955266276E-8,5.308708117758845E-4,3.3351443166973E-7
airplan,2.122254147998789E-7,2.588011141905568E-7,1.6118708485258878E-7,1.1884994611937693E-7,1.3058289199580412E-7,1.395484296545437E-7,3.521626360303016E-8,2.1127187144032752E-4,2.1526477603317588E-4,1.706201924561647E-7,6.894301265667609E-5,2.651836887634511E-7,1.6884692401998114E-4,4.2233268207002533E-4,2.5654372492766106E-7,7.000420445146956E-4,2.2673829480558438E-7,3.9994064880771695E-7,2.728236786944623E-7,1.6514264774197982E-7,1.6027256593653432E-7,1.1500371864524241E-7,2.34171691405735E-7,3.396311130628579E-7,8.650989746760443E-8,4.2514528596143485E-8,2.0257796668848433E-7,1.7499869472487818E-4,7.431766753135307E-4,3.3351443166973E-7
fool,2.122254147998789E-7,2.588011141905568E-7,1.6118708485258878E-7,1.1884994611937693E-7,1.307134748877999E-4,1.395484296545437E-7,1.7611653427875384E-4,2.1106081062969783E-7,1.4353376102711928E-4,1.706201924561647E-7,1.3785157103416346E-4,2.651836887634511E-7,8.446565264567772E-5,2.1106081062969783E-7,0.001026431443435572,1.7496676943631481E-7,2.2673829480558438E-7,3.9994064880771695E-7,2.728236786944623E-7,1.6530779038972175E-4,3.2070540443900514E-4,1.1500371864524241E-7,2.34171691405735E-7,3.396311130628579E-7,8.650989746760443E-8,4.2514528596143485E-8,2.0257796668848433E-7,8.754307517221542E-5,1.0615293176882313E-7,3.3351443166973E-7
author,2.122254147998789E-7,2.588011141905568E-7,1.6118708485258878E-7,1.1884994611937693E-7,1.3058289199580412E-7,1.395484296545437E-7,1.056840070726935E-4,2.1106081062969783E-7,7.173101500605661E-8,0.0010238917749294445,3.4454279188743675E-8,2.651836887634511E-7,8.438127137430343E-8,2.1106081062969783E-7,2.5654372492766106E-7,1.7496676943631481E-7,2.2673829480558438E-7,3.9994064880771695E-7,2.728236786944623E-7,1.6514264774197982E-7,1.6027256593653432E-7,1.1500371864524241E-7,2.34171691405735E-7,3.396311130628579E-7,8.651854845735118E-4,2.9764421470160053E-4,2.0257796668848433E-7,8.745561955266276E-8,1.0615293176882313E-7,3.3351443166973E-7
april,2.1243764021467874E-4,2.588011141905568E-7,1.6118708485258878E-7,1.1884994611937693E-7,1.3058289199580412E-7,1.395484296545437E-7,3.521626360303016E-8,2.1106081062969783E-7,7.180274602106266E-5,1.706201924561647E-7,2.067601294116508E-4,2.651836887634511E-7,8.438127137430343E-8,2.1106081062969783E-7,2.5654372492766106E-7,1.7496676943631481E-7,2.2673829480558438E-7,3.9994064880771695E-7,2.730965023731567E-4,1.6514264774197982E-7,0.001282340800058211,1.1511872236388764E-4,2.34171691405735E-7,3.396311130628579E-7,6.92165689638303E-4,4.2514528596143485E-8,2.0257796668848433E-7,8.745561955266276E-8,1.0615293176882313E-7,3.3351443166973E-7
booklet,2.122254147998789E-7,2.588011141905568E-7,1.6118708485258878E-7,1.1884994611937693E-7,1.3058289199580412E-7,2.792364077387419E-4,3.521626360303016E-8,2.1106081062969783E-7,7.173101500605661E-8,1.706201924561647E-7,3.4454279188743675E-8,2.651836887634511E-7,8.438127137430343E-8,2.1106081062969783E-7,2.5654372492766106E-7,1.7496676943631481E-7,2.2673829480558438E-7,3.9994064880771695E-7,2.728236786944623E-7,1.6530779038972175E-4,1.604328385024708E-4,1.1511872236388764E-4,0.0025761227771544906,3.396311130628579E-7,8.650989746760443E-8,1.701006289131701E-4,6.079364780321414E-4,8.745561955266276E-8,1.0615293176882313E-7,3.3351443166973E-7
