,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S0-T13,S0-T14,S0-T15,S0-T16,S0-T17,S0-T18,S0-T19,S0-T20,S0-T21,S0-T22,S0-T23,S0-T24,S0-T25,S0-T26,S0-T27,S0-T28,S0-T29,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12,S1-T13,S1-T14,S1-T15,S1-T16,S1-T17,S1-T18,S1-T19,S1-T20,S1-T21,S1-T22,S1-T23,S1-T24,S1-T25,S1-T26,S1-T27,S1-T28,S1-T29
eye,6.11531403054844E-7,7.260903880880515E-7,1.0317372701676264E-6,0.0042719754353403175,1.0878563681480007E-6,8.839864962222837E-7,8.552571373346254E-7,0.001664394517229935,7.088035382113083E-4,9.097202701141426E-7,7.494909083005369E-7,8.678755015235555E-7,9.57635177387552E-7,0.001972734067427932,6.696851609152989E-7,6.599618938002519E-7,7.786712597888711E-7,4.109748364217407E-7,0.0012369646050178005,9.697073132416443E-7,9.830531468022755E-7,9.42294808238295E-7,9.476526170848499E-7,0.02434363640947664,8.024143041583517E-7,7.041068439889343E-7,6.801615247588997E-7,0.0016533924290987152,0.012335881922015518,7.472506779431776E-7,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,1.2261829293264946E-6,1.0115938774292163E-6,0.02202359405345068,1.5636262995689084E-6,0.0034064428682231925,9.731990707895273E-7,1.2828094553319335E-6,0.02167387684383274,1.2276882997621968E-6,0.0027886985933865613,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,0.002596883480265113,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,1.159367866264598E-6
rotat,6.11531403054844E-7,7.260903880880515E-7,1.0317372701676264E-6,3.5596828892094977E-7,1.0878563681480007E-6,8.839864962222837E-7,8.552571373346254E-7,8.32613149298933E-4,7.080954427685399E-7,9.097202701141426E-7,7.494909083005369E-7,8.678755015235555E-7,9.57635177387552E-7,6.573589028416968E-7,6.696851609152989E-7,6.599618938002519E-7,7.786712597888711E-7,4.109748364217407E-7,1.235728876141659E-6,9.697073132416443E-7,9.830531468022755E-7,9.42294808238295E-7,9.476526170848499E-7,8.693845366050012E-7,8.024143041583517E-7,7.041068439889343E-7,6.801615247588997E-7,8.262830730128512E-7,6.852887018507592E-7,7.472506779431776E-7,0.009963147727055744,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,1.2261829293264946E-6,1.0115938774292163E-6,1.376388604052914E-6,1.5636262995689084E-6,8.513978675889008E-7,9.731990707895273E-7,1.2828094553319335E-6,1.204037378136367E-6,0.014733487285446123,0.004182351063844614,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,0.001449592275019948,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,1.159367866264598E-6
slow,0.003669799949732119,0.001452906866564191,0.0010327690074377939,0.006407785168866017,1.0878563681480007E-6,8.839864962222837E-7,0.0025666266691412106,8.317813679310021E-7,7.088035382113083E-4,0.0018203502604983992,7.494909083005369E-7,8.678755015235555E-7,9.585928125649395E-4,6.573589028416968E-7,6.696851609152989E-7,6.599618938002519E-7,7.786712597888711E-7,0.00493210901189731,1.235728876141659E-6,9.697073132416443E-7,9.840361999490777E-4,9.42294808238295E-7,9.486002697019347E-4,8.693845366050012E-7,8.024143041583517E-7,0.0021130246388107914,0.004761810834837057,8.262830730128512E-7,6.852887018507592E-7,7.472506779431776E-7,8.301931278273265E-7,0.01493845211679244,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,0.012263055476194272,0.0020241993487358618,1.376388604052914E-6,1.5636262995689084E-6,0.007663432206167696,0.012652561119334643,1.2828094553319335E-6,1.204037378136367E-6,1.2276882997621968E-6,1.3936524704580518E-6,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,0.004345880536798066,0.01580284808782674,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,0.0011605272341308624
flash,0.01467736520471931,0.004357268418916397,0.0020645062776054202,0.009255531480233616,0.03372463526895617,0.002652843475163073,8.552571373346254E-7,0.016636459139987972,0.0014168989809798481,0.0018203502604983992,0.002249222215809911,0.015622626902925521,9.57635177387552E-7,0.0052595285816364155,0.0033490954897374098,0.001320583749494304,0.0031154637104152732,0.009041857376114718,1.235728876141659E-6,9.697073132416443E-7,0.0049162487871581804,0.004712416335999714,0.0028439055038716344,0.006086561140771614,8.024143041583517E-7,0.0042253451707775945,6.801615247588997E-7,8.262830730128512E-7,0.01918876894052311,7.472506779431776E-7,0.0024914095766098068,0.008299877684266082,1.6115022585204154E-6,0.0038154497106945746,0.004462194757478748,0.011036872546867776,0.014163325877886457,1.376388604052914E-6,0.001565189925868477,0.008514830073756597,0.055473320234073836,1.2828094553319335E-6,0.03371425062519641,1.2276882997621968E-6,1.3936524704580518E-6,1.2844571691334667E-6,0.07046269835184306,1.3613981013942079E-6,0.016961609183380702,0.0429108451755374,1.454462946829198E-6,0.008806446393605557,0.00951725428561913,1.2977928437107012E-6,1.4481441308890593E-6,9.876162794717043E-7,0.006950283445372663,1.3859264710570046E-6,1.5587516892971434E-6,0.01391357376304144
recommend,6.11531403054844E-5,7.260903880880515E-5,0.0011349109971843891,3.559682889209498E-5,1.0878563681480007E-4,0.0027403581382890794,8.552571373346254E-5,8.317813679310021E-5,7.0809544276854E-5,0.002820132837353842,0.02255967633984616,8.678755015235555E-5,9.576351773875521E-5,7.230947931258665E-4,0.004085079481583323,6.59961893800252E-5,0.0016352096455566293,0.0012740219929073962,1.235728876141659E-4,0.008824336550498963,9.830531468022756E-5,0.004805703522015304,9.4765261708485E-5,8.693845366050013E-5,8.024143041583517E-5,7.041068439889343E-5,6.801615247588998E-5,8.262830730128512E-5,7.538175720358352E-4,0.009041733203112448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2gig,6.11531403054844E-7,0.003631178030828346,1.0317372701676264E-6,3.5596828892094977E-7,1.0878563681480007E-6,8.839864962222837E-7,8.552571373346254E-7,8.317813679310021E-7,7.080954427685399E-7,9.097202701141426E-7,7.494909083005369E-7,8.678755015235555E-7,9.57635177387552E-7,6.573589028416968E-7,6.696851609152989E-7,6.599618938002519E-7,7.786712597888711E-7,4.109748364217407E-7,1.235728876141659E-6,9.697073132416443E-7,9.830531468022755E-7,9.432371030465332E-4,9.476526170848499E-7,8.693845366050012E-7,8.024143041583517E-7,7.041068439889343E-7,6.801615247588997E-7,8.262830730128512E-7,6.859739905526099E-4,7.472506779431776E-7,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,1.2261829293264946E-6,1.0115938774292163E-6,1.376388604052914E-6,1.5636262995689084E-6,8.513978675889008E-7,9.731990707895273E-7,1.2828094553319335E-6,1.204037378136367E-6,1.2276882997621968E-6,1.3936524704580518E-6,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,1.159367866264598E-6
unplug,6.11531403054844E-7,7.260903880880515E-7,1.0317372701676264E-6,3.5596828892094977E-7,1.0878563681480007E-6,8.839864962222837E-7,8.552571373346254E-7,8.317813679310021E-7,7.080954427685399E-7,9.097202701141426E-7,7.494909083005369E-7,8.678755015235555E-7,9.57635177387552E-7,6.573589028416968E-7,6.696851609152989E-7,6.599618938002519E-7,7.786712597888711E-7,4.109748364217407E-7,1.235728876141659E-6,9.697073132416443E-7,9.830531468022755E-7,9.42294808238295E-7,9.476526170848499E-7,8.693845366050012E-7,8.024143041583517E-7,7.041068439889343E-7,6.801615247588997E-7,8.262830730128512E-7,6.852887018507592E-7,7.472506779431776E-7,0.0016612164487824802,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,1.2261829293264946E-6,1.0115938774292163E-6,1.376388604052914E-6,1.5636262995689084E-6,8.513978675889008E-7,9.731990707895273E-7,1.2828094553319335E-6,1.204037378136367E-6,0.007367357486872944,1.3936524704580518E-6,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,1.159367866264598E-6
default,0.002446737143622431,7.260903880880515E-7,1.0317372701676264E-6,0.0010682608350517703,1.0878563681480007E-6,8.839864962222837E-7,8.552571373346254E-7,8.317813679310021E-7,7.080954427685399E-7,9.097202701141426E-7,7.494909083005369E-7,0.006943871887689967,9.585928125649395E-4,6.573589028416968E-7,6.696851609152989E-7,6.599618938002519E-7,7.786712597888711E-7,4.1138581125816243E-4,1.235728876141659E-6,9.697073132416443E-7,9.830531468022755E-7,9.42294808238295E-7,9.486002697019347E-4,8.693845366050012E-7,8.024143041583517E-7,7.041068439889343E-7,6.801615247588997E-7,8.262830730128512E-7,6.852887018507592E-7,7.472506779431776E-7,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,0.0012274091122558208,1.0115938774292163E-6,1.376388604052914E-6,1.5636262995689084E-6,8.513978675889008E-7,9.731990707895273E-7,1.2828094553319335E-6,1.204037378136367E-6,1.2276882997621968E-6,1.3936524704580518E-6,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,1.159367866264598E-6
gray,6.11531403054844E-7,7.260903880880515E-7,1.0317372701676264E-6,3.5596828892094977E-7,1.0878563681480007E-6,8.839864962222837E-7,8.552571373346254E-7,8.317813679310021E-7,7.088035382113083E-4,9.106299903842566E-4,0.003748204032410985,8.678755015235555E-7,9.57635177387552E-7,6.573589028416968E-7,6.696851609152989E-7,6.599618938002519E-7,7.786712597888711E-7,4.109748364217407E-7,1.235728876141659E-6,9.697073132416443E-7,9.830531468022755E-7,9.42294808238295E-7,9.476526170848499E-7,8.693845366050012E-7,8.024143041583517E-7,7.041068439889343E-7,6.801615247588997E-7,8.262830730128512E-7,6.852887018507592E-7,7.472506779431776E-7,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,1.2261829293264946E-6,1.0115938774292163E-6,1.376388604052914E-6,1.5636262995689084E-6,8.513978675889008E-7,9.731990707895273E-7,1.2828094553319335E-6,1.204037378136367E-6,1.2276882997621968E-6,1.3936524704580518E-6,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,1.159367866264598E-6
slrlike,6.11531403054844E-7,7.268164784761395E-4,1.0317372701676264E-6,3.5596828892094977E-7,0.017406789746736158,8.839864962222837E-7,8.552571373346254E-7,0.001664394517229935,7.080954427685399E-7,9.097202701141426E-7,7.494909083005369E-7,8.678755015235555E-7,9.57635177387552E-7,6.573589028416968E-7,6.696851609152989E-7,6.599618938002519E-7,7.794499310486598E-4,4.109748364217407E-7,1.235728876141659E-6,9.697073132416443E-7,9.830531468022755E-7,9.42294808238295E-7,9.476526170848499E-7,8.693845366050012E-7,8.032167184625099E-4,7.041068439889343E-7,6.801615247588997E-7,8.262830730128512E-7,6.852887018507592E-7,7.472506779431776E-7,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,1.2261829293264946E-6,1.0115938774292163E-6,1.376388604052914E-6,1.5636262995689084E-6,8.513978675889008E-7,9.731990707895273E-7,1.2828094553319335E-6,1.204037378136367E-6,1.2276882997621968E-6,1.3936524704580518E-6,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,1.159367866264598E-6
