,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S0-T13,S0-T14,S0-T15,S0-T16,S0-T17,S0-T18,S0-T19,S0-T20,S0-T21,S0-T22,S0-T23,S0-T24,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12,S1-T13,S1-T14,S1-T15,S1-T16,S1-T17,S1-T18,S1-T19,S1-T20,S1-T21,S1-T22,S1-T23,S1-T24
mic,6.045075711550749E-7,7.897403254835778E-7,8.816484003812247E-7,6.652302128936251E-7,8.089050741806398E-7,6.674502532639986E-7,7.208563196392258E-7,5.09362334387204E-7,7.73252275874761E-7,1.008838433516034E-6,7.422587974368319E-7,6.838827305249006E-7,5.248685335540581E-7,9.640979562087426E-7,7.7701525955455E-4,8.089050741806398E-7,0.003058309681946495,8.373533270978422E-7,6.543479128591798E-7,4.714225978307961E-7,6.787102402485008E-4,3.550834996603626E-7,1.019119704781404E-6,4.844550896580695E-4,8.24919838414702E-7,5.84953019498239E-7,1.553907377796839E-6,1.1408505497188375E-6,1.2554313097036053E-6,1.5611851893483458E-6,1.1178942449686374E-6,9.204267617069364E-4,1.2617675597036865E-6,1.03248294596294E-6,0.014625752097097152,1.3096907951001848E-6,1.0389189425051868E-6,1.0677611930736467E-6,1.057597835731789E-6,1.232226670560503E-6,0.0019248917068046508,1.0261261991567295E-6,1.0758020911441049E-6,8.587088968252674E-7,9.464865944371197E-7,1.2762606583718233E-6,7.659671599239854E-7,1.1191453310935506E-6,1.4608371473356523E-6,1.0044809896950295E-6
cute,6.045075711550749E-7,7.897403254835778E-7,8.816484003812247E-7,6.652302128936251E-7,8.089050741806398E-7,6.674502532639986E-7,7.208563196392258E-7,5.09362334387204E-7,7.73252275874761E-7,1.008838433516034E-6,7.422587974368319E-7,6.838827305249006E-7,5.248685335540581E-7,9.640979562087426E-7,3.883134730407547E-7,8.089050741806398E-7,7.643863239056472E-7,8.373533270978422E-7,6.543479128591798E-7,4.714225978307961E-7,0.0020354523496907816,3.550834996603626E-7,1.019119704781404E-6,4.8397111853953E-7,8.24919838414702E-7,5.84953019498239E-7,1.553907377796839E-6,1.1408505497188375E-6,1.2554313097036053E-6,1.5611851893483458E-6,1.1178942449686374E-6,9.19507254452484E-7,1.2617675597036865E-6,1.03248294596294E-6,1.2187111154984711E-6,1.3096907951001848E-6,1.0389189425051868E-6,1.0677611930736467E-6,1.057597835731789E-6,1.232226670560503E-6,9.61964870966842E-7,1.0261261991567295E-6,1.0758020911441049E-6,8.587088968252674E-7,9.464865944371197E-7,1.2762606583718233E-6,7.659671599239854E-7,1.1191453310935506E-6,1.4608371473356523E-6,1.0044809896950295E-6
long,6.045075711550749E-7,0.005528972018710528,8.816484003812247E-7,0.006652967359149144,0.0024275241276161,6.681177035172625E-4,7.208563196392258E-7,5.09362334387204E-7,7.740255281506357E-4,1.008838433516034E-6,7.422587974368319E-7,6.838827305249006E-7,0.0015751304691957282,9.650620541649512E-4,0.004660149989962096,8.089050741806398E-7,0.010702172921002966,0.005024957315914152,6.543479128591798E-7,0.004243274803074995,3.3918552736057016E-7,0.002485939581122199,1.019119704781404E-6,0.01306770417168585,8.24919838414702E-7,5.84953019498239E-7,1.553907377796839E-6,1.1408505497188375E-6,1.2554313097036053E-6,1.5611851893483458E-6,1.1178942449686374E-6,9.19507254452484E-7,0.006310099566078137,1.03248294596294E-6,0.008532196519604797,1.3096907951001848E-6,1.0389189425051868E-6,1.0677611930736467E-6,0.0222106121482033,0.0024656855677915664,0.010582575545506229,0.021549676308490476,1.0758020911441049E-6,0.0068705298834989634,9.464865944371197E-7,1.2762606583718233E-6,0.005362536086627822,0.0011202644764246438,1.4608371473356523E-6,1.0044809896950295E-6
fell,6.045075711550749E-7,7.897403254835778E-7,8.816484003812247E-7,6.652302128936251E-7,8.089050741806398E-7,6.674502532639986E-7,7.215771759588649E-4,0.0020379586998832033,7.73252275874761E-7,1.008838433516034E-6,7.422587974368319E-7,6.838827305249006E-7,5.248685335540581E-7,9.640979562087426E-7,3.883134730407547E-7,8.089050741806398E-7,7.643863239056472E-7,8.373533270978422E-7,6.543479128591798E-7,4.714225978307961E-7,3.3918552736057016E-7,7.105220828203855E-4,1.019119704781404E-6,4.8397111853953E-7,8.24919838414702E-7,5.84953019498239E-7,1.553907377796839E-6,1.1408505497188375E-6,1.2554313097036053E-6,1.5611851893483458E-6,1.1178942449686374E-6,9.19507254452484E-7,1.2617675597036865E-6,1.03248294596294E-6,1.2187111154984711E-6,1.3096907951001848E-6,1.0389189425051868E-6,1.0677611930736467E-6,0.005289046776494677,1.232226670560503E-6,9.61964870966842E-7,1.0261261991567295E-6,1.0758020911441049E-6,8.587088968252674E-7,9.464865944371197E-7,1.2762606583718233E-6,7.659671599239854E-7,1.1191453310935506E-6,1.4608371473356523E-6,1.0044809896950295E-6
1st,6.045075711550749E-7,7.897403254835778E-7,0.0017641784491628306,6.652302128936251E-7,8.089050741806398E-7,6.681177035172625E-4,7.208563196392258E-7,5.09362334387204E-7,7.73252275874761E-7,1.008838433516034E-6,7.430010562342686E-4,6.838827305249006E-7,5.248685335540581E-7,9.640979562087426E-7,3.883134730407547E-7,8.089050741806398E-7,7.643863239056472E-7,8.373533270978422E-7,6.543479128591798E-7,4.714225978307961E-7,3.3918552736057016E-7,3.550834996603626E-7,1.019119704781404E-6,4.8397111853953E-7,8.24919838414702E-7,5.84953019498239E-7,1.553907377796839E-6,1.1408505497188375E-6,1.2554313097036053E-6,1.5611851893483458E-6,1.1178942449686374E-6,9.19507254452484E-7,1.2617675597036865E-6,1.03248294596294E-6,1.2187111154984711E-6,1.3096907951001848E-6,1.0389189425051868E-6,1.0677611930736467E-6,1.057597835731789E-6,1.232226670560503E-6,9.61964870966842E-7,1.0261261991567295E-6,1.0758020911441049E-6,8.587088968252674E-7,9.464865944371197E-7,1.2762606583718233E-6,7.659671599239854E-7,1.1191453310935506E-6,1.4608371473356523E-6,1.0044809896950295E-6
min,6.045075711550749E-7,7.897403254835778E-7,8.816484003812247E-7,6.652302128936251E-7,8.097139792548203E-4,6.674502532639986E-7,7.208563196392258E-7,5.09362334387204E-7,7.73252275874761E-7,1.008838433516034E-6,7.422587974368319E-7,6.838827305249006E-7,5.248685335540581E-7,9.640979562087426E-7,3.883134730407547E-7,8.089050741806398E-7,7.643863239056472E-7,8.373533270978422E-7,6.543479128591798E-7,4.714225978307961E-7,3.3952471288793066E-4,0.0021308560814618364,1.019119704781404E-6,4.8397111853953E-7,8.24919838414702E-7,5.84953019498239E-7,1.553907377796839E-6,1.1408505497188375E-6,1.2554313097036053E-6,1.5611851893483458E-6,0.005590589119088157,9.19507254452484E-7,1.2617675597036865E-6,1.03248294596294E-6,1.2187111154984711E-6,1.3096907951001848E-6,1.0389189425051868E-6,1.0677611930736467E-6,1.057597835731789E-6,1.232226670560503E-6,9.61964870966842E-7,1.0261261991567295E-6,1.0758020911441049E-6,8.587088968252674E-7,9.464865944371197E-7,1.2762606583718233E-6,7.659671599239854E-7,1.1191453310935506E-6,1.4608371473356523E-6,1.0044809896950295E-6
defin,6.045075711550749E-7,7.897403254835778E-7,0.006172420451068954,6.652302128936251E-7,8.089050741806398E-7,6.674502532639986E-7,7.208563196392258E-7,5.09362334387204E-7,7.73252275874761E-7,1.008838433516034E-6,7.422587974368319E-7,6.838827305249006E-7,5.248685335540581E-7,9.640979562087426E-7,3.883134730407547E-7,8.089050741806398E-7,7.643863239056472E-7,8.373533270978422E-7,6.543479128591798E-7,4.714225978307961E-7,3.3918552736057016E-7,3.550834996603626E-7,1.019119704781404E-6,4.8397111853953E-7,0.0033005042734972232,5.84953019498239E-7,0.02952579408551774,1.1408505497188375E-6,1.2554313097036053E-6,1.5611851893483458E-6,1.1178942449686374E-6,9.19507254452484E-7,1.2617675597036865E-6,1.03248294596294E-6,1.2187111154984711E-6,1.3096907951001848E-6,1.0389189425051868E-6,1.0677611930736467E-6,1.057597835731789E-6,1.232226670560503E-6,9.61964870966842E-7,1.0261261991567295E-6,1.0758020911441049E-6,8.587088968252674E-7,9.464865944371197E-7,0.001277536919030195,7.659671599239854E-7,1.1191453310935506E-6,1.4608371473356523E-6,1.0044809896950295E-6
mix,6.045075711550749E-7,7.897403254835778E-7,0.00529077205068773,6.652302128936251E-7,8.089050741806398E-7,6.674502532639986E-7,7.208563196392258E-7,5.09362334387204E-7,7.73252275874761E-7,1.008838433516034E-6,7.430010562342686E-4,6.838827305249006E-7,5.248685335540581E-7,9.640979562087426E-7,3.883134730407547E-7,8.089050741806398E-7,7.651507102295527E-4,8.373533270978422E-7,6.543479128591798E-7,4.714225978307961E-7,3.3918552736057016E-7,3.550834996603626E-7,1.019119704781404E-6,4.8397111853953E-7,8.24919838414702E-7,5.84953019498239E-7,1.553907377796839E-6,1.1408505497188375E-6,1.2554313097036053E-6,1.5611851893483458E-6,1.1178942449686374E-6,9.19507254452484E-7,1.2617675597036865E-6,1.03248294596294E-6,1.2187111154984711E-6,1.3096907951001848E-6,1.0389189425051868E-6,1.0677611930736467E-6,1.057597835731789E-6,1.232226670560503E-6,9.61964870966842E-7,1.0261261991567295E-6,1.0758020911441049E-6,8.587088968252674E-7,9.464865944371197E-7,1.2762606583718233E-6,7.659671599239854E-7,1.1191453310935506E-6,1.4608371473356523E-6,1.0044809896950295E-6
bother,6.045075711550749E-7,7.897403254835778E-7,8.816484003812247E-7,6.652302128936251E-7,8.089050741806398E-7,6.674502532639986E-7,7.208563196392258E-7,5.09362334387204E-7,7.73252275874761E-7,1.008838433516034E-6,7.422587974368319E-7,0.001368449343780326,5.248685335540581E-7,9.640979562087426E-7,0.0011653287325953047,8.089050741806398E-7,7.643863239056472E-7,8.373533270978422E-7,6.543479128591798E-7,4.714225978307961E-7,3.3918552736057016E-7,3.550834996603626E-7,0.0010201388244861851,4.8397111853953E-7,8.257447582531167E-4,0.0035103030700089325,1.553907377796839E-6,1.1408505497188375E-6,1.2554313097036053E-6,1.5611851893483458E-6,1.1178942449686374E-6,9.19507254452484E-7,1.2617675597036865E-6,1.03248294596294E-6,1.2187111154984711E-6,1.3096907951001848E-6,1.0389189425051868E-6,0.0032043513404140136,1.057597835731789E-6,1.232226670560503E-6,9.61964870966842E-7,1.0261261991567295E-6,1.0758020911441049E-6,8.587088968252674E-7,9.464865944371197E-7,1.2762606583718233E-6,7.659671599239854E-7,1.1191453310935506E-6,1.4608371473356523E-6,1.0044809896950295E-6
star,6.045075711550749E-7,7.897403254835778E-7,8.816484003812247E-7,6.652302128936251E-7,8.089050741806398E-7,6.674502532639986E-7,7.208563196392258E-7,5.09362334387204E-7,7.73252275874761E-7,1.008838433516034E-6,7.422587974368319E-7,6.838827305249006E-7,0.00105026193564167,9.640979562087426E-7,3.883134730407547E-7,0.0024275241276161,7.643863239056472E-7,8.373533270978422E-7,6.543479128591798E-7,4.714225978307961E-7,3.3918552736057016E-7,3.550834996603626E-7,0.003058378234048993,4.8397111853953E-7,8.24919838414702E-7,5.84953019498239E-7,1.553907377796839E-6,1.1408505497188375E-6,1.2554313097036053E-6,1.5611851893483458E-6,1.1178942449686374E-6,9.19507254452484E-7,0.003786564446670763,1.03248294596294E-6,1.2187111154984711E-6,1.3096907951001848E-6,1.0389189425051868E-6,1.0677611930736467E-6,1.057597835731789E-6,1.232226670560503E-6,9.61964870966842E-7,1.0261261991567295E-6,1.0758020911441049E-6,8.587088968252674E-7,9.464865944371197E-7,1.2762606583718233E-6,7.659671599239854E-7,1.1191453310935506E-6,1.4608371473356523E-6,1.0044809896950295E-6
