,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12
carrier,4.4667881426645395E-4,0.004954152146627527,1.6424476806503567E-7,0.001526479001899084,0.00226527215227783,5.49174974751128E-4,6.04337393364886E-4,2.5147907417475883E-7,1.3696429651388235E-4,1.657694670544788E-7,0.0015640779329540134,0.002546248397745247,9.192213766668126E-4,1.5912950280058384E-4,0.0060564439345832015,0.0036257115899501614,0.0025263671341245806,0.001057886525832952,7.615835049285948E-4,0.00251433337032731,0.0013028615017321987,0.00561296038602433,0.0023990774537520354,0.0016964082280180716,0.0016280480881575524,0.002465357750886797
worth,0.008335374967589366,5.946726367756972E-4,0.001971101461548493,0.0024804091368191465,2.5166894259280416E-7,1.3725942883057437E-7,4.532908066703381E-4,2.5147907417475883E-7,1.3682746904483755E-7,1.657694670544788E-7,1.9568079126196317E-4,0.0013889679697181375,0.0012868364043280053,9.539821641421617E-4,1.5937590943878323E-7,0.0020304623003436746,2.296488622965713E-7,0.0018805957449009071,0.0017766898093985648,7.185092361031047E-4,0.0033870230721896252,0.002079005104278705,0.0029635330631284334,0.005936722079088072,0.001831528664105253,9.483312139208424E-4
awesom,0.0035723886108660987,0.0019817797535467336,0.0011498776212233149,0.0017172650288830964,0.005285299463391481,0.0032943635513626155,0.0015106169135321729,0.002515042220821763,1.3682746904483755E-7,0.0028182467093931943,1.954853059560072E-7,0.0013889679697181375,1.8380751383059639E-7,1.5897053226831555E-7,3.189111947870052E-4,8.702809988116844E-4,0.0022967182718280094,0.001057886525832952,0.004568232146690982,0.0026939157837497308,2.6052019630717833E-7,0.0014553659369118304,4.234828209346425E-4,2.826875900713334E-7,0.005697659607111565,7.58702896800098E-4
version,8.932087852092604E-4,0.0037652031893952095,0.001478367157353386,5.725488669790215E-4,0.003271947922649047,0.002745325836040318,0.0010574771534485295,0.002263563146647004,6.842741726932326E-4,6.632436376849697E-4,7.821367091299849E-4,0.002083336226534403,7.354138628362162E-4,0.0011129526964104772,0.0019126702891748375,1.450226626914988E-7,0.0013781228226417243,0.003173424517721979,7.615835049285948E-4,0.001077674062947946,0.0026054624832680903,0.011433592614781827,0.0015523940396874381,0.0014137206379467382,0.0010176063603144507,0.0011379595310415866
signal,1.489921669712497E-4,0.0017836215940080142,0.001478367157353386,7.633348939630341E-4,0.001761934267092222,2.746561170899793E-4,0.0012085237401430772,2.5147907417475883E-7,0.0023262038012312834,0.0028182467093931943,0.0011731073210419992,6.945997129018714E-4,1.8380751383059639E-7,0.002225746422288686,6.376630136645718E-4,0.0018854396376521757,0.0022967182718280094,0.0011754164142712311,0.0010153600810460875,0.001796003716637628,2.6078071650348546E-4,0.002494764549189955,1.4111390234409948E-7,5.656578677327381E-4,8.141257843667502E-4,0.02237633104856495
cover,5.955221379140561E-4,9.909889558531364E-4,0.0016426119254184216,0.00820398994633952,7.552584967210053E-4,8.236938324122768E-4,7.553839800594339E-4,0.007796102778491699,0.001094756579827745,0.0018236299070663211,0.0011731073210419992,9.260557985072934E-4,0.00459537165327874,0.0012719232286787926,0.002709549836368754,1.4516768535419028E-4,9.188250980485818E-4,2.3517730676499686E-4,0.0010153600810460875,0.0026939157837497308,0.0018239018943465555,6.238470470893304E-4,0.004656899891257627,0.0014137206379467382,4.071646324713489E-4,0.0011379595310415866
includ,0.0011908954325044645,7.928307963144168E-4,0.0047632625186541,0.0028619811907871716,2.5166894259280416E-7,0.0012354721189039998,0.00589096792767406,2.5173055324893357E-4,0.0015052389869622577,6.632436376849697E-4,1.954853059560072E-7,0.002546248397745247,1.8399132134442695E-4,0.0027026580190936326,0.001593918470297271,0.0014503716495776794,0.0013781228226417243,0.0042311935136664924,2.537765761174925E-7,0.001077674062947946,2.6052019630717833E-7,0.002494764549189955,8.46824527966941E-4,0.002827158588303405,0.001424567512209852,0.001517216165283075
live,0.0013397387561520666,0.0017836215940080142,1.6424476806503567E-7,3.81762839995009E-4,5.035895541282011E-4,0.004529698410837784,0.0012085237401430772,7.546887015984512E-4,6.842741726932326E-4,0.002155168841175279,1.954853059560072E-7,0.0013889679697181375,7.354138628362162E-4,9.539821641421617E-4,0.002231422108052404,8.702809988116844E-4,0.0025263671341245806,0.002585775075530583,0.0022842429616335494,0.0012572564763703665,0.004429103857418339,2.0787972245562495E-7,1.4111390234409948E-7,8.483454578040715E-4,2.034805759477006E-7,0.008912720532992103
option,0.0020839553743900773,0.0027744123917016117,0.0047632625186541,0.0017172650288830964,0.001761934267092222,0.001647250405395723,0.0022658498470049123,0.0015091259241227278,0.008209784970159296,0.0019893993741208,0.0019550485448660278,0.0016204240553235594,0.0012868364043280053,4.770705673372149E-4,0.0017532943797360543,0.002755575613801169,6.891762357520104E-4,0.0036435440714750965,0.0010153600810460875,0.001077674062947946,0.0028659826795752684,2.0787972245562495E-7,5.64596723278742E-4,0.002827158588303405,2.034805759477006E-7,9.483312139208424E-4
voic,5.955221379140561E-4,1.983563176982582E-4,6.571433170282077E-4,0.0011449069479310592,0.00704698206154111,0.0010982126900734254,0.005739921340979512,0.0015091259241227278,0.007799302563024784,1.6593523652153326E-4,3.9116609721797036E-4,0.0018518801409289811,0.001103028890497409,4.770705673372149E-4,0.0012751666514197045,0.002755575613801169,0.003904260307904009,0.0018805957449009071,7.615835049285948E-4,3.5934440925826356E-4,2.6078071650348546E-4,0.0014553659369118304,1.4125501624644355E-4,0.001979095818089405,0.0010176063603144507,0.006447552410422427
decent,0.002679328668980486,0.00356704502985649,1.6424476806503567E-7,0.0017172650288830964,0.00226527215227783,5.49174974751128E-4,0.005135734994201321,0.0027665212949965217,8.211016417380701E-4,0.010443642193899219,5.866514031739776E-4,9.260557985072934E-4,0.001103028890497409,1.5897053226831555E-7,1.59535285348222E-4,2.9019034804568907E-4,9.188250980485818E-4,5.877669720798348E-4,0.007359774483983399,5.389268226806841E-4,2.6078071650348546E-4,0.001663245659367455,5.64596723278742E-4,8.483454578040715E-4,0.0010176063603144507,0.001517216165283075
