,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7
attempt,2.96962114973565E-4,2.893502614927957E-4,9.438470413365402E-5,4.979297424307336E-4,6.916809867686961E-8,2.1950722128288183E-4,1.6685383870562113E-4,2.4257302975896599E-4,1.220162154669707E-7,7.1541645701074E-4,2.3911146466568377E-4,0.001384875032039516,7.749593472417078E-4,0.0010058704777567951,0.0012434983970421624,9.251078012830332E-4
compat,1.7820102120289313E-4,0.0014464620295219712,2.829655315735222E-4,1.245291106866514E-4,1.3840536545241608E-4,1.4636252908598686E-4,4.170095189239437E-4,6.467266948022283E-4,0.0028064949719557933,0.0014307778862192335,7.975693973020641E-5,8.18360996843132E-4,3.875442428049267E-4,0.0010058704777567951,3.731365552968232E-4,9.259403150528109E-5
green,7.126259431709164E-4,1.4471129048914874E-4,0.0013201600824927972,3.112294265586925E-4,4.8424585883676414E-4,7.321783688909187E-5,8.346861196618028E-5,1.6174229675031354E-4,1.220162154669707E-7,2.751940390362827E-4,0.0027887838636333215,3.147929655574574E-4,6.458209790961142E-4,9.052934876801233E-4,3.731365552968232E-4,8.326062713077274E-4
life,9.501481307122603E-4,7.231948550182346E-8,8.487080138931268E-4,3.112294265586925E-4,5.534139575136337E-4,3.6579660567667184E-4,5.837799724028255E-4,4.0423449577627095E-4,2.441544471494084E-4,5.508283004905397E-5,7.967726246773868E-8,5.036309772895853E-4,0.0012915128198240826,1.0057699007667185E-7,1.2433740596361988E-7,8.326062713077274E-4
wire,1.1882047431755719E-4,0.0011571840875146775,1.886751178535881E-4,1.867625493106651E-4,4.150777601598946E-4,4.3894129787356683E-4,5.003947456633846E-4,4.0423449577627095E-4,4.8818687808334984E-4,0.0014858056884660405,4.781432520688998E-4,1.889009577360387E-4,1.2926750651373928E-4,0.0014081784380634826,2.4879914933320337E-4,0.001017609331258339
readi,1.7820102120289313E-4,8.679061455073834E-4,1.886751178535881E-4,4.356963038067199E-4,3.4590966148302497E-4,7.315200666611467E-4,4.170095189239437E-4,8.09115637416611E-5,2.441544471494084E-4,8.254720615043544E-4,3.9846598960116114E-4,8.813070007538413E-4,5.166826109505204E-4,3.0183154722009223E-4,3.731365552968232E-4,9.250152997530579E-8
music,2.96962114973565E-4,7.955866600055599E-4,9.42904137199341E-8,3.734628651827062E-4,6.225820561905033E-4,7.314469219689498E-8,5.837799724028255E-4,0.0011317110928541429,3.6617066261637906E-4,7.704442592575472E-4,7.967726246773868E-8,2.518469616467481E-4,3.875442428049267E-4,0.0017099094082934983,1.2446174336958347E-4,8.326062713077274E-4
bring,5.938054688533593E-8,8.679061455073834E-4,5.658367727333245E-4,3.734628651827062E-4,6.916809867686961E-8,1.4636252908598686E-4,2.50239065445062E-4,5.658959617935758E-4,6.102030935503205E-4,7.704442592575472E-4,6.374977770043772E-4,0.0010701450124859695,1.291383681455937E-7,1.0057699007667185E-7,1.2433740596361988E-7,0.001572618511110174
easier,5.938054688533593E-8,7.232671745037364E-4,1.886751178535881E-4,3.734628651827062E-4,3.4590966148302497E-4,5.120859900704618E-4,0.0011674765595789114,8.892188938281855E-4,1.220162154669707E-7,8.804998637511616E-4,3.9846598960116114E-4,6.300894991462003E-5,1.2926750651373928E-4,4.0240853729676414E-4,2.4879914933320337E-4,0.001017609331258339
feet,6.532453962855805E-4,7.239180498732528E-5,6.601271864532586E-4,2.4899598793467884E-4,5.534139575136337E-4,0.0012435329120394118,2.50239065445062E-4,7.275574278108807E-4,3.6617066261637906E-4,2.751940390362827E-4,0.0010358840893430704,2.518469616467481E-4,1.291383681455937E-7,4.0240853729676414E-4,8.704861791513028E-4,4.6260015140650433E-4
space,6.532453962855805E-4,7.231948550182346E-8,6.601271864532586E-4,6.22334386240137E-8,0.0014525992403129388,5.852306822673567E-4,5.837799724028255E-4,4.0423449577627095E-4,2.441544471494084E-4,4.4027744577670416E-4,4.781432520688998E-4,6.300894991462003E-5,0.0011623744516784888,6.035625174501078E-4,2.4879914933320337E-4,5.551016813818101E-4
default,9.501481307122603E-4,1.4471129048914874E-4,7.544176001731927E-4,3.112294265586925E-4,4.8424585883676414E-4,4.3894129787356683E-4,4.170095189239437E-4,1.6174229675031354E-4,6.102030935503205E-4,3.85249643529897E-4,0.0011155613518108092,6.300894991462003E-5,5.166826109505204E-4,9.052934876801233E-4,6.21811367224063E-4,0.0018501231010360913
multipl,5.938054688533593E-8,1.4471129048914874E-4,5.658367727333245E-4,1.245291106866514E-4,6.916809867686961E-8,1.4636252908598686E-4,5.003947456633846E-4,9.70049626836838E-4,0.0014643166018191154,3.3022184128308986E-4,3.1878872713342245E-4,9.442530046645507E-4,7.749593472417078E-4,7.041395075267797E-4,4.974739612604432E-4,8.326062713077274E-4
knew,4.1572320874423685E-4,2.893502614927957E-4,9.42904137199341E-8,6.846300583027746E-4,9.684225495748514E-4,1.4636252908598686E-4,2.50239065445062E-4,3.234037627676185E-4,4.8818687808334984E-4,3.85249643529897E-4,3.1878872713342245E-4,6.924689890217133E-4,0.001033236083532895,8.047164976034514E-4,1.2433740596361988E-7,2.775970914558927E-4
buzz,0.0019596174277629707,1.4471129048914874E-4,7.544176001731927E-4,3.112294265586925E-4,0.0011759268456054603,3.6579660567667184E-4,5.837799724028255E-4,8.09115637416611E-5,3.6617066261637906E-4,1.6513843454266832E-4,0.003983942800649402,5.036309772895853E-4,0.0014206511879696763,6.035625174501078E-4,7.461487731876829E-4,2.775970914558927E-4
sd,0.0016033341464509554,1.4471129048914874E-4,9.438470413365402E-5,1.245291106866514E-4,6.916809867686961E-8,0.0019018351418114666,3.3362429218450286E-4,0.0019400184229406675,1.2213823168243765E-4,2.2016623678947553E-4,7.967726246773868E-8,1.2595495382532936E-4,3.875442428049267E-4,0.0010058704777567951,2.4879914933320337E-4,1.8509556148058688E-4
reflect,0.0012470508651389399,7.231948550182346E-8,3.7725594529345636E-4,6.846300583027746E-4,4.150777601598946E-4,1.4636252908598686E-4,1.6685383870562113E-4,8.083073300865246E-8,1.220162154669707E-7,5.5027802246807174E-8,0.0036652337507784467,2.518469616467481E-4,0.0011623744516784888,1.0067756706674851E-4,4.974739612604432E-4,5.551016813818101E-4
worri,8.313870369415883E-4,6.50947689001913E-4,6.601271864532586E-4,4.979297424307336E-4,4.8424585883676414E-4,7.314469219689498E-8,8.338522673944085E-8,3.234037627676185E-4,1.220162154669707E-7,5.5027802246807174E-8,3.1878872713342245E-4,6.294600391070933E-8,0.0023246197649888323,4.0240853729676414E-4,3.731365552968232E-4,8.326062713077274E-4
refurbish,1.1882047431755719E-4,2.1703077599097222E-4,9.42904137199341E-8,9.957972514228431E-4,6.917501548673729E-4,2.9265191347977685E-4,6.671651991422662E-4,8.09115637416611E-5,2.441544471494084E-4,1.1011063229586115E-4,4.781432520688998E-4,6.29522985111004E-4,0.00154978955611527,3.0183154722009223E-4,4.974739612604432E-4,1.8509556148058688E-4
bother,4.7510375562957274E-4,7.231948550182346E-8,3.7725594529345636E-4,1.867625493106651E-4,6.923726677554648E-5,2.9265191347977685E-4,8.339356526211479E-4,4.8506522878492337E-4,8.54235524484262E-4,4.953052480235114E-4,0.0010358840893430704,4.4068497337887603E-4,6.458209790961142E-4,6.035625174501078E-4,1.2446174336958347E-4,8.326062713077274E-4
buck,0.001187670318253604,8.679061455073834E-4,9.42904137199341E-8,4.356963038067199E-4,8.992544508979818E-4,4.3894129787356683E-4,1.6685383870562113E-4,2.4257302975896599E-4,1.220162154669707E-7,1.6513843454266832E-4,7.967726246773868E-8,1.889009577360387E-4,0.0011623744516784888,6.035625174501078E-4,6.21811367224063E-4,2.775970914558927E-4
honest,6.532453962855805E-4,9.402256310092068E-4,1.886751178535881E-4,6.22956720626377E-5,6.225820561905033E-4,8.046647588580417E-4,3.3362429218450286E-4,3.234037627676185E-4,3.6617066261637906E-4,4.953052480235114E-4,0.001195238614278548,3.147929655574574E-4,5.166826109505204E-4,4.0240853729676414E-4,3.731365552968232E-4,9.250152997530579E-8
realiz,4.1572320874423685E-4,8.679061455073834E-4,4.7154635901339046E-4,6.846300583027746E-4,2.075734641292857E-4,7.314469219689498E-8,5.003947456633846E-4,3.234037627676185E-4,1.220162154669707E-7,3.85249643529897E-4,7.968523019398544E-4,6.924689890217133E-4,5.166826109505204E-4,7.041395075267797E-4,1.2446174336958347E-4,6.476032113571159E-4
instruct,4.1572320874423685E-4,5.063087179982661E-4,1.886751178535881E-4,1.867625493106651E-4,2.075734641292857E-4,5.120859900704618E-4,3.3362429218450286E-4,7.275574278108807E-4,1.220162154669707E-7,6.603886547639329E-4,7.967726246773868E-8,7.554149929324226E-4,0.0014206511879696763,1.0067756706674851E-4,9.948235851149226E-4,0.0018501231010360913
busi,3.563426618589009E-4,5.786282035000895E-4,2.829655315735222E-4,0.0010580306900468568,2.7674156280615536E-4,1.4636252908598686E-4,6.671651991422662E-4,1.6174229675031354E-4,1.220162154669707E-7,5.5027802246807174E-8,4.781432520688998E-4,0.0020143350711466093,2.58405874659333E-4,1.0057699007667185E-7,6.21811367224063E-4,9.259403150528109E-5
cheaper,2.96962114973565E-4,0.0010125451165110303,9.438470413365402E-5,0.0011202641286708706,3.4590966148302497E-4,5.852306822673567E-4,5.003947456633846E-4,5.658959617935758E-4,1.220162154669707E-7,3.3022184128308986E-4,3.9846598960116114E-4,3.147929655574574E-4,7.749593472417078E-4,7.041395075267797E-4,6.21811367224063E-4,1.8509556148058688E-4
