,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12
download,1.3036584175072982E-7,2.1599573710813246E-7,2.731449406380458E-4,2.962330121476271E-7,8.961630425466917E-4,5.511106421283581E-4,0.00841223533131014,2.6442987200800907E-7,0.0012559895582839682,2.1107194788380322E-7,2.686207212412641E-7,1.1436778460794896E-7,1.535456531916537E-7,4.167324756701162E-7,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,4.2796842106614637E-7,0.0010771932492443384,5.110300511719597E-4,6.403602410572092E-7,0.006084841438888787,2.627692037646418E-7,4.671541576019295E-7,3.797053562376667E-7,4.352327907866441E-7
prefer,5.215937328446701E-4,0.002376169103926565,0.0013646332149159514,2.962330121476271E-7,5.975415688556914E-4,0.0011021973239662016,7.827109499912066E-4,5.291241738880261E-4,2.5114768212036955E-7,4.223549677154902E-4,8.061307844450336E-4,0.0011437922138640975,9.214274648031139E-4,4.167324756701162E-7,5.00595458297645E-7,3.8780417905539435E-7,0.004450925121610473,4.2796842106614637E-7,2.1539557073472075E-7,2.5564271925193984E-4,6.403602410572092E-7,4.6802872385884066E-7,2.627692037646418E-7,0.0018690837845653202,3.797053562376667E-7,4.352327907866441E-7
singl,1.3036584175072982E-7,2.1621173284524055E-4,2.7287206856947636E-7,2.962330121476271E-7,2.986214736910002E-7,6.948723852164912E-4,3.9145328941074834E-4,0.0010579839179040444,2.5114768212036955E-7,0.0014777147071345065,2.686207212412641E-7,0.0012581599984720464,1.535456531916537E-7,8.338816838159025E-4,5.00595458297645E-7,3.8780417905539435E-7,8.09590143472644E-4,8.563648105533588E-4,2.1539557073472075E-7,2.5538733192001984E-7,6.403602410572092E-7,4.6802872385884066E-7,2.627692037646418E-7,4.671541576019295E-7,0.0015192011303069046,4.352327907866441E-7
settl,1.3036584175072982E-7,4.3220746995337303E-4,2.7287206856947636E-7,2.962330121476271E-7,2.986214736910002E-7,3.354680274961585E-4,1.956288302902291E-7,2.6442987200800907E-7,2.5114768212036955E-7,2.1107194788380322E-7,2.686207212412641E-7,1.1436778460794896E-7,1.535456531916537E-7,4.167324756701162E-7,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,4.2796842106614637E-7,2.1561096630545544E-4,2.5538733192001984E-7,6.403602410572092E-7,4.6802872385884066E-7,2.627692037646418E-7,4.671541576019295E-7,3.800850615939043E-4,4.352327907866441E-7
youtub,1.3036584175072982E-7,2.1599573710813246E-7,2.7287206856947636E-7,2.962330121476271E-7,2.986214736910002E-7,4.073488990402251E-4,1.956288302902291E-7,2.6442987200800907E-7,2.513988298024899E-4,2.11283019831687E-4,2.686207212412641E-7,1.1436778460794896E-7,1.535456531916537E-7,4.167324756701162E-7,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,0.002140270073751798,2.1539557073472075E-7,2.5538733192001984E-7,6.403602410572092E-7,4.6802872385884066E-7,2.627692037646418E-7,4.671541576019295E-7,3.797053562376667E-7,4.352327907866441E-7
smart,1.3036584175072982E-7,2.1599573710813246E-7,0.0013646332149159514,2.962330121476271E-7,2.989200951646912E-4,5.511106421283581E-4,0.001956483931732581,2.6442987200800907E-7,2.5114768212036955E-7,2.11283019831687E-4,5.375100632037695E-4,3.432177216084548E-4,1.535456531916537E-7,4.167324756701162E-7,5.00595458297645E-7,3.8780417905539435E-7,0.0020233684695185874,4.2839638948721244E-4,2.1539557073472075E-7,2.5538733192001984E-7,6.403602410572092E-7,4.6802872385884066E-7,2.627692037646418E-7,4.671541576019295E-7,3.797053562376667E-7,4.352327907866441E-7
field,2.608620493432104E-4,2.1599573710813246E-7,2.7287206856947636E-7,2.965292451597747E-4,2.986214736910002E-7,8.386341283046242E-4,9.783397802814358E-4,2.6442987200800907E-7,2.5114768212036955E-7,2.1107194788380322E-7,2.686207212412641E-7,1.1436778460794896E-7,7.678818116114602E-4,4.167324756701162E-7,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,0.0012843332316195052,2.1561096630545544E-4,2.5538733192001984E-7,6.403602410572092E-7,4.6802872385884066E-7,2.630319729684064E-4,4.671541576019295E-7,3.797053562376667E-7,4.356680235774307E-4
extern,2.608620493432104E-4,2.1599573710813246E-7,2.7287206856947636E-7,2.962330121476271E-7,2.986214736910002E-7,9.344752903633796E-4,3.9145328941074834E-4,2.6442987200800907E-7,2.5114768212036955E-7,0.0010555708113669,8.061307844450336E-4,5.719532908243528E-4,1.535456531916537E-7,0.0012506141594860187,5.00595458297645E-7,3.8780417905539435E-7,0.0016187756941699397,4.2796842106614637E-7,0.0023695666736526628,2.5538733192001984E-7,6.403602410572092E-7,9.365254764415401E-4,0.0013141087880269738,4.6762131175953137E-4,3.797053562376667E-7,0.001306133605150719
test,9.126912580968596E-4,6.482032070615055E-4,2.7287206856947636E-7,8.88995269455029E-4,5.975415688556914E-4,0.0016293237152893562,3.9145328941074834E-4,2.6442987200800907E-7,2.513988298024899E-4,2.11283019831687E-4,2.686207212412641E-7,3.432177216084548E-4,1.535456531916537E-7,0.0012506141594860187,0.0010016915120535875,3.8819198323444967E-4,0.00323714679556453,4.2796842106614637E-7,8.617976785096178E-4,0.001532579378852039,0.006404242770813148,4.6802872385884066E-7,2.630319729684064E-4,4.671541576019295E-7,0.0015192011303069046,0.003917530349870583
24mm,1.3036584175072982E-7,2.1599573710813246E-7,2.731449406380458E-4,2.962330121476271E-7,2.986214736910002E-7,5.990312231577359E-4,1.956288302902291E-7,2.6442987200800907E-7,2.5114768212036955E-7,2.1107194788380322E-7,2.686207212412641E-7,1.1436778460794896E-7,1.535456531916537E-7,4.171492081457863E-4,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,4.2796842106614637E-7,2.1539557073472075E-7,2.5538733192001984E-7,6.403602410572092E-7,4.6802872385884066E-7,2.627692037646418E-7,4.671541576019295E-7,3.797053562376667E-7,4.352327907866441E-7
bounc,1.3036584175072982E-7,2.1599573710813246E-7,2.7287206856947636E-7,2.962330121476271E-7,2.986214736910002E-7,3.1150773698146965E-4,1.956288302902291E-7,2.6442987200800907E-7,2.5114768212036955E-7,2.11283019831687E-4,2.686207212412641E-7,1.1436778460794896E-7,1.535456531916537E-7,4.167324756701162E-7,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,4.2796842106614637E-7,2.1539557073472075E-7,2.5538733192001984E-7,6.403602410572092E-7,4.6802872385884066E-7,2.627692037646418E-7,9.347754693614609E-4,3.800850615939043E-4,4.352327907866441E-7
antishak,0.0010430570998475892,2.1599573710813246E-7,0.00518484217488862,5.927622573074019E-4,2.986214736910002E-7,7.190483183458122E-5,1.956288302902291E-7,0.0031734228939681165,2.5114768212036955E-7,2.1107194788380322E-7,2.6888934196250537E-4,1.1436778460794896E-7,1.535456531916537E-7,4.167324756701162E-7,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,4.2796842106614637E-7,2.1539557073472075E-7,2.5538733192001984E-7,6.403602410572092E-7,4.6802872385884066E-7,2.627692037646418E-7,4.671541576019295E-7,3.797053562376667E-7,4.352327907866441E-7
fact,3.912278910939402E-4,0.00280816057814283,2.7287206856947636E-7,2.962330121476271E-7,2.986214736910002E-7,0.0010782370334515127,7.827109499912066E-4,2.6442987200800907E-7,2.5114768212036955E-7,0.0010555708113669,2.686207212412641E-7,0.0011437922138640975,0.001842701383953036,4.167324756701162E-7,5.010960537559427E-4,3.8780417905539435E-7,4.045927753486477E-7,4.2796842106614637E-7,4.310065370401762E-4,5.110300511719597E-4,6.403602410572092E-7,4.6802872385884066E-7,0.002365185603085541,4.671541576019295E-7,3.797053562376667E-7,4.352327907866441E-7
eaven,1.3049620759248055E-4,2.1599573710813246E-7,2.7287206856947636E-7,0.004740024427374182,2.986214736910002E-7,2.3960290514688847E-8,1.956288302902291E-7,2.6442987200800907E-7,2.5114768212036955E-7,2.1107194788380322E-7,2.686207212412641E-7,1.1436778460794896E-7,1.535456531916537E-7,4.167324756701162E-7,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,4.2796842106614637E-7,2.1539557073472075E-7,2.5564271925193984E-4,6.403602410572092E-7,4.6802872385884066E-7,2.627692037646418E-7,4.671541576019295E-7,3.797053562376667E-7,4.352327907866441E-7
critic,1.3036584175072982E-7,2.1621173284524055E-4,2.7287206856947636E-7,2.962330121476271E-7,2.986214736910002E-7,3.354680274961585E-4,1.956288302902291E-7,2.6442987200800907E-7,2.5114768212036955E-7,2.1107194788380322E-7,2.686207212412641E-7,1.1436778460794896E-7,1.535456531916537E-7,4.167324756701162E-7,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,4.2796842106614637E-7,2.1539557073472075E-7,5.110300511719597E-4,6.403602410572092E-7,4.6802872385884066E-7,2.627692037646418E-7,4.671541576019295E-7,3.797053562376667E-7,4.352327907866441E-7
