,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S0-T13,S0-T14,S0-T15,S0-T16,S0-T17,S0-T18,S0-T19,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12,S1-T13,S1-T14,S1-T15,S1-T16,S1-T17,S1-T18,S1-T19
antishak,5.059270364170328E-8,3.921461594616869E-8,0.00503820849964465,7.79684782798532E-8,1.586622613560927E-7,6.129443049383207E-8,2.51802761801886E-4,2.1151952240583997E-7,1.5437587685498053E-7,1.5305272850160154E-7,1.6437376226557016E-7,1.1610766245551915E-7,1.2188142010380396E-7,1.7535565634219323E-7,1.0324503267498795E-7,5.384827795361036E-8,0.0014084537896967716,1.6227544055197663E-4,1.5095032285255053E-7,7.957899610579665E-5,5.643990617429998E-7,4.604484030728485E-7,1.562549806275075E-7,2.2012874890265817E-7,5.308430424525798E-7,5.22794903377046E-7,5.647868076645637E-8,2.986147857319467E-7,4.822075073922411E-7,5.331070116366599E-7,4.838406886794827E-7,5.609166724628056E-7,3.9188085567968604E-7,1.5528442205312093E-7,2.494514562477113E-7,2.7323927344584234E-7,3.77245174656971E-7,4.4349910147082045E-7,4.482704828231717E-7,2.9491600202430344E-7
updat,0.001315460887387927,0.001999984627870549,1.68102620184137E-4,0.003196785577952261,3.1748318497354144E-4,0.0035551382630727535,3.776412234719939E-4,0.0021154067435808057,6.176578832967772E-4,3.0625850973170466E-4,0.0024657708077458177,0.0010450850697621278,0.0021939874432885752,1.7553101199853542E-4,0.0011357986044575423,3.769917939532261E-4,4.695889148850141E-4,0.0014602935338116096,1.5095032285255053E-7,0.0014310704384619837,5.643990617429998E-7,4.609088514759213E-4,0.005312825596315882,0.00396253760899675,5.313738854950322E-4,0.001046112601657469,6.778006478782428E-4,8.961429719815719E-4,4.826897148996333E-4,5.336401186482964E-4,9.681652180476448E-4,0.0022442276065236856,3.9227273653536567E-4,0.003571696991643835,0.0019958611014379377,2.7351251271928815E-4,0.011317732484883786,0.0013309408035139321,8.969892361291665E-4,0.0032443709382693623
outdoor,5.059270364170328E-8,3.92185374077633E-4,3.360373056827754E-4,0.0011696051426760778,0.0023800925826027463,4.291223078873183E-4,0.002391056610193721,2.1151952240583997E-7,0.002007040774991602,4.5931123823330625E-4,1.6437376226557016E-7,1.1610766245551915E-7,6.095289819391237E-4,3.5088666834072864E-4,1.0324503267498795E-7,2.1544696009239504E-4,0.0026602736227791155,0.0019470503187839722,0.0052834122501621205,7.949949660918747E-8,5.643990617429998E-7,4.604484030728485E-7,1.562549806275075E-7,2.2012874890265817E-7,5.308430424525798E-7,5.22794903377046E-7,5.647868076645637E-8,2.986147857319467E-7,4.822075073922411E-7,5.336401186482964E-4,4.838406886794827E-7,5.609166724628056E-7,7.841535922150517E-4,0.002484706037271988,4.991523639516702E-4,0.00628477652852782,3.7762241983162794E-4,4.4349910147082045E-7,4.482704828231717E-7,5.901269200506312E-4
sound,4.047922218372679E-4,0.0010980484611086694,5.039719911814138E-4,0.0021052268820343162,6.348077076857269E-4,8.581833213441427E-4,2.51802761801886E-4,0.006345797191697605,4.6328200644179656E-4,0.003979523993770142,3.2891189829340584E-4,1.1622377011797466E-4,2.4388472162771173E-4,3.5088666834072864E-4,1.0324503267498795E-7,4.8468834986044676E-4,0.0065722106011614385,8.808211707492734E-4,1.5095032285255053E-7,7.155749689792964E-4,5.649634608047427E-4,4.604484030728485E-7,1.562549806275075E-7,2.2012874890265817E-7,5.308430424525798E-7,5.22794903377046E-7,0.0025415971131713027,0.001791987329177412,9.648972222918744E-4,0.0010667471302849563,4.838406886794827E-7,0.01065797769346577,3.9188085567968604E-7,1.5543970647517404E-4,0.002245312557685649,0.0019129481533943424,3.77245174656971E-7,4.4349910147082045E-7,4.482704828231717E-7,2.9491600202430344E-7
charg,5.064329634534498E-5,3.529707581314643E-4,0.0013436454186746057,0.002417100795153729,1.586622613560927E-7,0.0026357218056652725,1.2583846167010793E-7,0.005076680057262565,6.176578832967772E-4,9.184694237381109E-4,8.220331850901163E-4,0.002554484681683877,0.0014626989226657514,1.7535565634219323E-7,3.098383430576388E-4,0.001400109075071823,0.0012519763105614786,8.808211707492734E-4,1.5095032285255053E-7,7.949949660918747E-8,5.643990617429998E-7,4.604484030728485E-7,0.002500235945020748,0.004622923855704724,5.308430424525798E-7,0.003137292215165653,6.213219671117865E-4,0.0020906021149093585,4.822075073922411E-7,0.0010667471302849563,4.838406886794827E-7,0.0022442276065236856,0.018810672953480607,0.011801771360459245,0.03143113293866787,2.7351251271928815E-4,0.00113211276914557,4.4349910147082045E-7,4.487187533059948E-4,0.001769790928147845
time,0.004553393920456937,0.004196003120855996,0.004366469757650097,0.00974613775345993,0.00840925851413427,0.009868464603937456,0.00855714123202901,0.0031730043556100055,0.004785806558381252,0.006887525835300571,0.007725731200244062,0.008940406116737432,0.010238161170139638,0.006839045953001878,0.007846725728331758,0.006784936870432859,0.005476868247214388,0.008645750835784578,0.006038163864424873,0.00659853771805917,0.028784916547954727,0.0069071864944958,0.010938004898906152,0.012767687565103077,0.015925822116619845,0.009410831055690204,0.007850593105218202,0.004180905615032985,0.004340349774037562,0.004798496211741575,0.016934907944470574,0.007292477658688935,0.0078380089944494,0.011801771360459245,0.011475016438850967,0.0071044943488653475,0.009054261436941961,0.009313924629988701,0.012103751306708458,0.0058986149564880935
big,0.0033391690330560587,0.0017254823162473683,6.719066766800523E-4,0.0014035105775156375,7.934699690418196E-4,0.0015937164872701277,5.034796851421018E-4,6.347700867399258E-4,0.014511486800245027,0.003367313079763736,3.2891189829340584E-4,0.004760530268338741,0.0030471573840152033,0.002104443231762661,0.0030974542252823136,0.0028540125798193023,0.0046944808515379235,0.0018543347406939983,0.001962505147406009,0.003259558860473295,5.649634608047427E-4,0.0013818056576216182,0.0012501961000006873,4.40477626554219E-4,0.0015930599704001918,5.22794903377046E-7,0.002089767667039652,2.986147857319467E-7,4.822075073922411E-7,5.336401186482964E-4,0.0019358465954066103,0.007292477658688935,0.0011760344478947376,0.004348119101909439,0.003742021295171917,0.0010932303330568154,0.007168035563657106,0.0022179390064555734,8.969892361291665E-4,0.0023596229321964516
turn,0.0013660535910296303,8.627607654316573E-4,0.0020153841606691592,0.0035086594910716733,0.0017454435371783757,0.005393971177887716,0.0016360258401730732,0.0033845238780158458,0.0029332960361214853,0.0022959439802525245,9.864069473556865E-4,0.0015095157195842044,0.0014626989226657514,0.001227664950051695,2.0659331038265085E-4,0.001292412519164602,1.5647747913529294E-7,0.0026424171544587754,0.001962505147406009,6.360754723701089E-4,0.002258160646033742,0.01059077371907859,0.002500235945020748,2.2012874890265817E-7,5.308430424525798E-7,5.22794903377046E-7,0.009036645401313785,8.961429719815719E-4,4.822075073922411E-7,5.331070116366599E-7,0.007258094170880919,0.0016833109340608796,0.002351677014933796,0.006366816588600011,0.0099783077013647,0.010656604903661297,0.0037728289917443665,4.4349910147082045E-7,0.0022418006845986815,0.006783362962561004
comput,5.059270364170328E-8,0.0014509800046241875,6.719066766800523E-4,0.0018713214471947567,1.586622613560927E-7,0.004781026872949395,2.51802761801886E-4,0.0019038872211749654,0.0035507995435414075,1.5305272850160154E-7,3.2891189829340584E-4,2.3233143257349383E-4,4.876475618353197E-4,1.7535565634219323E-7,1.0334827770766292E-4,2.1544696009239504E-4,4.695889148850141E-4,2.549910186419504E-4,7.549025645856052E-4,3.180774859333591E-4,5.643990617429998E-7,4.604484030728485E-7,6.251761774906576E-4,2.2012874890265817E-7,0.0021239030128527717,5.22794903377046E-7,1.1301384021367919E-4,0.004180905615032985,4.822075073922411E-7,0.01972549253756805,9.681652180476448E-4,5.609166724628056E-7,3.9227273653536567E-4,0.015528597489734147,0.0062365358576490304,2.7323927344584234E-7,3.7762241983162794E-4,4.4394260057229124E-4,8.969892361291665E-4,2.9491600202430344E-7
eaven,5.059270364170328E-8,3.921461594616869E-8,1.679346854986384E-7,7.79684782798532E-8,1.586622613560927E-7,6.129443049383207E-8,1.2583846167010793E-7,2.1151952240583997E-7,1.5437587685498053E-7,1.5305272850160154E-7,1.6437376226557016E-7,1.1610766245551915E-7,1.2188142010380396E-7,1.7535565634219323E-7,1.0324503267498795E-7,5.384827795361036E-8,1.5647747913529294E-7,2.3178894522493446E-8,1.5095032285255053E-7,7.949949660918747E-8,5.643990617429998E-7,4.609088514759213E-4,1.56411235608135E-4,2.2012874890265817E-7,5.308430424525798E-7,5.22794903377046E-7,5.647868076645637E-8,2.986147857319467E-7,4.822075073922411E-7,5.331070116366599E-7,4.838406886794827E-7,5.609166724628056E-7,3.9188085567968604E-7,1.5528442205312093E-7,2.494514562477113E-7,2.7323927344584234E-7,3.77245174656971E-7,4.4349910147082045E-7,0.00717277599565357,2.9491600202430344E-7
